model,problem,best,mean_cost,std_cost,mean_time,std_time,ARPD,RPD
average-swap,ft06,74,78.23333333333333,2.3900255693657804,2.016649826367696,0.14771070542802286,7.168949771689499,1.36986301369863
cut_crossfill-kswap,ft06,74,78.7,2.6727015047201466,3.9310282627741495,0.17966285380613994,7.8082191780821955,1.36986301369863
cut_crossfill-non_uniform,ft06,74,79.66666666666667,3.123388473365994,1.9259384552637735,0.164795630590978,9.132420091324207,1.36986301369863
average-uniform,ft06,74,79.1,2.1656407827707715,1.1440332174301147,0.15580346346585358,8.356164383561635,1.36986301369863
PSO,ft06,73,74.0,2.463060426921489,6.038288434346517,0.8806873490846644,1.36986301369863,0.0
SA,ft06,73,77.43333333333334,3.432038590821626,7.859187340736389,1.0919192154305617,6.073059360730599,0.0
average-swap,la01,1000,1165.2333333333333,49.78465850261727,54.028814625740054,5.948821570375296,20.00343288705802,2.9866117404737382
cut_crossfill-kswap,la01,1000,1097.3,46.263124264003906,90.18181841373443,2.5465165098990172,13.007209062821829,2.9866117404737382
cut_crossfill-non_uniform,la01,1007,1154.9666666666667,57.79301188052257,35.27519816557567,5.100230306653069,18.946103673189153,3.7075180226570548
average-uniform,la01,1166,1249.1666666666667,38.758296602863695,33.69427274068197,5.673761245150583,28.647442499141786,20.08238928939238
PSO,la01,1012,1088.5666666666666,50.81711216597111,138.2314279794693,18.895201884887243,12.10779265362169,4.222451081359424
SA,la01,1007,1128.4,60.28797558385917,198.59206868807476,18.795052789634294,16.210092687950574,3.7075180226570548
average-swap,la02,1089,1147.0333333333333,28.579110475232703,57.650560386975606,3.059487394981286,22.415510494485943,16.22198505869797
cut_crossfill-kswap,la02,984,1071.9333333333334,38.009589433311284,93.52240525881449,2.672523607351675,14.400569192458207,5.016008537886873
cut_crossfill-non_uniform,la02,967,1105.2,66.85975371377512,38.73300355275472,5.959874075828045,17.950907150480262,3.2017075773745995
average-uniform,la02,1101,1176.1,28.430441431676716,34.915672826766965,8.795113697859476,25.51760939167555,17.502668089647813
PSO,la02,961,1042.2666666666667,52.08322399988524,125.71403721173604,36.10514543449369,11.234436143721094,2.5613660618996796
SA,la02,962,1072.5666666666666,44.765822776856105,188.16420652071636,26.107806005509094,14.468160796869434,2.6680896478121667
average-swap,la03,842,940.0,46.44782018566641,44.04656965732575,5.808801120548747,14.634146341463413,2.682926829268293
cut_crossfill-kswap,la03,849,894.2,28.918736717452465,77.35182509422302,2.359404615869072,9.048780487804883,3.536585365853658
cut_crossfill-non_uniform,la03,868,942.9666666666667,36.743691824432794,29.107431308428446,2.964193439355968,14.995934959349597,5.853658536585367
average-uniform,la03,947,989.5666666666667,21.771056218954765,28.031640195846556,8.155396472884654,20.67886178861789,15.487804878048781
PSO,la03,829,878.6666666666666,30.94978011050949,110.76185563405355,18.38977955136563,7.154471544715442,1.097560975609756
SA,la03,868,924.3,29.1194665702058,179.78071807225544,16.9182584093048,12.719512195121945,5.853658536585367
average-swap,la04,970,1024.1,25.728518547842327,32.651760482788085,2.7746247135892292,15.456595264937983,9.357384441939121
cut_crossfill-kswap,la04,904,978.2333333333333,37.111259148074666,76.63240659236908,2.4622359767226434,10.285606914693727,1.9165727170236753
cut_crossfill-non_uniform,la04,906,998.8666666666667,49.25358418994049,29.982783071200053,3.247540819162668,12.611800075159715,2.142051860202931
average-uniform,la04,1020,1058.8333333333333,19.8075462611826,22.980232365926106,3.821829619494278,19.37241638481773,14.994363021420517
PSO,la04,887,959.6666666666666,31.239220363013047,111.31833226680756,22.47224829757173,8.192408868846295,0.0
SA,la04,939,991.4666666666667,23.981566995414532,159.7679025411606,17.14371162605758,11.777527245396472,5.862457722660654
average-swap,la05,885,943.9333333333333,20.466123771301252,36.59001162846883,2.5679376745374918,21.484341484341478,13.8996138996139
cut_crossfill-kswap,la05,833,888.6,33.617059161483276,72.02397940953573,2.4123101074626434,14.362934362934364,7.207207207207207
cut_crossfill-non_uniform,la05,872,922.2,28.87721131503756,30.5954598903656,4.204869571656889,18.687258687258694,12.226512226512225
average-uniform,la05,870,967.8666666666667,32.6023857341078,22.234958720207214,2.918556893579134,24.564564564564563,11.96911196911197
PSO,la05,812,875.5333333333333,35.73302238670679,109.29536029497783,20.298905745865586,12.681252681252678,4.504504504504505
SA,la05,796,890.1333333333333,42.556420066646695,149.74163633187612,19.4948749379637,14.560274560274559,2.445302445302445
average-swap,la10,1517,1587.8,24.687918772819497,128.93602263132732,10.672460246319604,23.37218337218337,17.871017871017873
cut_crossfill-kswap,la10,1416,1569.1,48.93216392789784,246.1057338476181,14.022311408850088,21.919191919191913,10.023310023310025
cut_crossfill-non_uniform,la10,1505,1593.4,47.24447057593089,93.68631285826365,15.519659055308601,23.807303807303814,16.93861693861694
average-uniform,la10,1567,1631.7333333333333,28.736658740284255,82.60263764858246,15.885046203260044,26.785806785806788,21.756021756021756
PSO,la10,1380,1493.3,53.6663457547341,308.714688984553,41.64433467669216,16.029526029526025,7.226107226107226
SA,la10,1451,1558.7666666666667,47.113114475223945,527.0564525524775,37.73480991784645,21.116291116291112,12.742812742812742
average-swap,la20,1805,1889.4333333333334,47.80842557076687,104.74308161735534,11.813391843318392,23.81607688947139,18.283093053735257
cut_crossfill-kswap,la20,1717,1840.9,57.56697548652931,190.93762284119924,5.069197577055913,20.635648754914815,12.516382699868938
cut_crossfill-non_uniform,la20,1707,1900.7,81.70807793602785,78.73162736892701,10.066025810578669,24.55439056356488,11.861074705111402
average-uniform,la20,1842,1946.4,57.33562010943401,60.52297933896383,15.371812910316324,27.549148099606825,20.70773263433814
PSO,la20,1680,1810.7333333333333,51.607449935923874,345.6932677348455,53.25834388500543,18.658802970729578,10.091743119266056
SA,la20,1711,1845.3666666666666,58.71483817760398,422.81177571614586,45.743625018494846,20.928352992573167,12.123197903014416
